City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,rocha,-34.4833,-54.3333,16.84,80,100,5.39,UY,1712756246
339,carloforte,39.145,8.3058,14.05,62,10,13.61,IT,1712756434
340,mazamitla,19.9167,-103.0333,14.18,58,4,1.55,MX,1712756434
341,lebu,-37.6167,-73.65,11.56,59,100,2.15,CL,1712756434
342,yung shue wan,22.2333,114.1167,23.75,74,26,6.65,HK,1712756435
343,san borja,-14.8167,-66.85,28.7,75,57,2.53,BO,1712756435
344,zouerate,22.7187,-12.4521,34.27,13,0,3.74,MR,1712756435
345,zykovo,55.9519,93.1461,3.68,96,100,2.12,RU,1712756435
346,i-n-salah,27.1935,2.4607,35.0,8,100,9.65,DZ,1712756435
347,ust'-ilimsk,58.0006,102.6619,3.58,98,100,4.02,RU,1712756435
348,crane,31.3974,-102.3501,10.2,66,18,8.31,US,1712756435
349,petropavlivka,48.4564,36.4367,24.86,30,5,4.41,UA,1712756435
350,shingu,33.7333,135.9833,12.98,78,100,2.52,JP,1712756435
351,ukata,10.8312,5.8249,39.64,14,83,2.78,NG,1712756435
352,sparti,37.0733,22.4297,22.75,37,43,2.43,GR,1712756436
353,kamloops,50.6665,-120.3192,0.32,85,20,1.03,CA,1712756309
354,amga,60.8953,131.9608,-3.56,97,100,0.96,RU,1712756436
355,revda,56.801,59.9303,2.39,76,100,2.11,RU,1712756436
356,west bay,19.3667,-81.4167,29.48,82,40,4.12,KY,1712756436
357,bizhbulyak,53.6967,54.2642,10.78,76,55,2.4,RU,1712756436
358,san luis de la loma,17.2706,-100.8939,26.81,54,100,2.83,MX,1712756436
359,nellore,14.4333,79.9667,27.55,76,7,3.44,IN,1712756436
360,klaksvik,62.2266,-6.589,7.51,76,100,6.85,FO,1712756436
